,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
42,dunkin donuts munchkins,1,1,8100,81.9,1.71,https://www.dunkindonuts.com/en/menu/donuts/munchkins,6480,0.11,11080,0.09,316000,8/30/2020
43,dd perks,1,1,8100,85.79,2.59,https://www.dunkindonuts.com/en/dd-perks,6480,0.11,16783,0.02,5820000,8/30/2020
44,national doughnut day dunkin donuts,1,2,8100,86.26,0.0,https://news.dunkindonuts.com/blog/how-to-get-a-free-donut-on-national-donut-day,6480,0.11,0,0.0,61,8/30/2020
45,what time does dunkin donuts close,1,1,8100,86.64,0.0,https://www.dunkindonuts.com/en/locations,6480,0.11,0,0.0,37900000,8/30/2020
46,24 hour dunkin donuts,1,1,6600,86.08,0.0,https://www.dunkindonuts.com/en/locations,5280,0.08,0,0.0,6380000,8/30/2020
47,dunkin donuts order online,1,5,6600,82.35,2.49,https://news.dunkindonuts.com/news/dunkin-donuts-on-the-go-mobile-ordering-now-available-nationwide,5280,0.08,13147,0.23,17300000,8/30/2020
48,dunkin donuts open near me,1,1,6600,86.53,0.0,https://www.dunkindonuts.com/en/locations,5280,0.08,0,0.0,29300000,8/30/2020
49,dunkin donuts breakfast menu,1,1,6600,83.68,1.98,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,5280,0.08,10454,0.18,0,8/30/2020
50,donut shop near me,10,33,165000,75.4,2.97,https://www.dunkindonuts.com/en/locations,4950,0.08,14701,0.09,147000000,8/30/2020
51,dunkin coffee,1,1,6600,86.4,5.67,https://www.dunkindonuts.com/,5280,0.08,29937,0.38,27400000,8/30/2020
52,dunkin donuts drink menu,1,2,6600,88.64,1.48,https://www.dunkindonuts.com/en/menu,5280,0.08,7814,0.02,17500000,8/30/2020
53,dunkin donuts hiring,1,1,6600,81.94,0.35,https://www.dunkindonuts.com/en/careers,5280,0.08,1848,0.07,91,8/30/2020
54,dunkin delivery,1,1,6600,88.72,1.82,https://www.dunkindonuts.com/en/dunkin-delivers,5280,0.08,9609,0.3,64,8/31/2020
55,dunkin iced coffee,1,1,6600,88.75,5.9,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,5280,0.08,31152,0.53,2220000,8/30/2020
56,closest dunkin donuts to me,1,1,6600,82.23,2.52,https://www.dunkindonuts.com/en/locations,5280,0.08,13305,0.01,97,8/30/2020
57,dunkin donuts specials,1,1,5400,86.77,1.29,https://news.dunkindonuts.com/news/dunkin-donuts-doubles-down-on-value-with-launch-of-new-dunkin-go2s,4320,0.07,5572,0.01,831000,8/30/2020
58,dunkin happy hour,1,1,5400,85.73,4.15,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,4320,0.07,17928,0.13,0,8/30/2020
59,sippeelwin,2,2,33100,78.75,0.0,https://news.dunkindonuts.com/blog/dunkin-sip-peel-win,4303,0.07,0,0.0,4820,8/30/2020
60,dunkin donuts cups,1,1,5400,88.15,1.22,https://www.dunkindonuts.com/en/shop,4320,0.07,5270,1.0,1480000,8/30/2020
61,dunkin nutrition,1,1,5400,84.0,0.0,https://www.dunkindonuts.com/en/menu/nutrition,4320,0.07,0,0.0,0,8/30/2020
62,dunkin drive thru,1,1,5400,87.07,2.35,https://news.dunkindonuts.com/blog/dunkin-order-ahead-drive-thru-pickup,4320,0.07,10152,0.03,1870000,8/30/2020
63,dunkin donuts coupons,2,2,33100,87.23,1.19,https://www.dunkindonuts.com/en/menu/offers-promotions,4303,0.07,5120,0.22,804000,8/30/2020
64,dunkin donuts com,1,1,5400,84.5,1.55,https://www.dunkindonuts.com/,4320,0.07,6696,0.07,33000000,8/30/2020
65,dunkin donuts nutrition facts,1,1,4400,84.4,0.0,https://www.dunkindonuts.com/en/menu/nutrition,3520,0.05,0,0.0,0,8/30/2020
66,sippeelwin,3,3,33100,78.75,0.0,https://news.dunkindonuts.com/blog?t=Sip+Peel+Win,2979,0.05,0,0.0,4820,8/30/2020
67,dunkindonuts com,1,1,4400,82.37,0.68,https://www.dunkindonuts.com/,3520,0.05,2393,0.07,17400000,8/30/2020
68,dunkin gift card balance,1,1,4400,66.7,0.0,https://www.dunkindonuts.com/en/dd-cards/check-balance,3520,0.05,0,0.0,1280000,8/30/2020
69,dunkin logo,1,1,4400,81.59,0.0,https://www.dunkindonuts.com/,3520,0.05,0,0.0,22000000,8/30/2020
70,dunkin donuts breakfast,1,1,4400,87.81,5.37,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,3520,0.05,18902,0.15,11900000,8/30/2020
71,coolatta,1,1,6600,86.13,4.94,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/coolatta,3102,0.05,15323,0.01,285000,8/30/2020
72,24 hour dunkin donuts near me,1,1,4400,87.36,0.0,https://www.dunkindonuts.com/en/locations,3520,0.05,0,0.0,8580000,8/30/2020
73,dunkin donuts customer service,1,1,4400,85.7,0.0,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,3520,0.05,0,0.0,0,8/30/2020
74,dunkin donuts bagels,1,1,4400,86.51,1.76,https://news.dunkindonuts.com/news/dunkin-donuts-rolls-out-new-artisan-bagels,3520,0.05,6195,0.12,0,8/30/2020
75,is dunkin donuts open today,1,1,4400,88.62,3.63,https://www.dunkindonuts.com/en/locations,3520,0.05,12777,0.0,20500000,8/30/2020
76,dunkin donuts deals,1,1,4400,88.3,1.86,https://news.dunkindonuts.com/news/dunkin-donuts-doubles-down-on-value-with-launch-of-new-dunkin-go2s,3520,0.05,6547,0.03,0,8/30/2020
77,dunkin donuts coupons,3,3,33100,87.23,1.19,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,2979,0.05,3545,0.22,804000,8/30/2020
78,coffee near me,18,0,1000000,80.15,4.98,https://www.dunkindonuts.com/,3000,0.05,14940,0.06,2660000000,8/30/2020
79,dunkin drinks,1,2,3600,87.81,2.3,https://www.dunkindonuts.com/en/menu,2880,0.04,6624,0.04,31600000,8/30/2020
80,what is a macchiato,2,1,18100,74.62,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,2353,0.04,0,0.0,25300000,8/30/2020
81,dunkin donuts corporate,1,1,3600,78.2,0.0,https://www.dunkindonuts.com/en/about/contact-us,2880,0.04,0,0.0,29900000,8/14/2020
82,dunkin near me,2,2,90500,85.14,2.68,https://www.dunkindonuts.com/en/menu,2353,0.04,6306,0.01,29700000,8/30/2020
83,free dunkin donuts,1,1,3600,85.98,4.22,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,2880,0.04,12153,0.11,19500000,8/30/2020
